Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m1,heatgen_m2,heatgen_m3,heatgen_m4,heatgen_m5,heatgen_m6,exp_flowrate,Tamb,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,DNI
46659,44.74685821,59.36242806,71.49105644,12.34150184,10.89330905,8.220281463,13.83495684,11.36455292,14.83645432,1.116223823,21.78028178,43.88103936,41.52786294,44.20323487,44.30924503,46.74991415,46.40488949,48.19059635,48.12054171,50.9886241,50.52415933,53.15528087,52.99873345,55.96330026,55.96330026,670.9831884
46669,44.7723549,59.58511583,72.21262209,11.97695129,11.35363732,8.128336541,13.4018781,11.64215788,15.70966094,1.116199423,21.76734377,43.89398567,41.55466908,44.27320529,44.32785293,46.72098127,46.43907972,48.16192007,48.13096024,51.048415,50.54832272,53.28053124,53.0672337,56.33479174,56.33479174,670.5259554
46679,44.81406846,59.92827648,73.70179364,11.98285977,10.76332399,8.350156341,13.72313079,11.90587151,16.97645124,1.116126948,21.70082278,43.93433456,41.59116972,44.29214514,44.37747973,46.65423765,46.52052747,48.28348622,48.15694178,51.16906462,50.61689958,53.22939872,53.08840035,56.47103225,56.47103225,670.8188374
46689,44.83386651,59.81244733,72.75563849,12.32690545,10.74553792,8.597850869,13.10749803,11.58441588,16.39343034,1.11612237,21.71992453,43.98015465,41.63631507,44.4315507,44.4121789,46.76420697,46.51466966,48.30565513,48.19425321,51.13999742,50.67806033,53.32581805,53.14743863,56.06948249,56.06948249,670.5112059
46699,44.85421054,59.5781865,72.14498921,12.31166416,11.16222133,8.309191224,13.16456616,11.80513172,15.39221461,1.11606146,21.74208834,44.01678741,41.67626844,44.46776775,44.4370147,46.87020441,46.60462396,48.29223096,48.25991823,51.32031146,50.68338205,53.36603872,53.17797852,56.43296947,56.43296947,670.0613476
46709,44.8794628,60.0461644,73.91167364,12.37474221,10.77756751,8.161683222,13.37770153,12.01084628,17.20913289,1.116004817,21.73041903,44.04965022,41.71032567,44.32649072,44.4662406,46.87064885,46.57905052,48.33379914,48.31278527,51.20416932,50.76142579,53.40048746,53.2040976,56.57976796,56.57976796,670.6766105
46719,44.91469396,59.9939094,72.24936661,12.00003819,10.71721339,8.371211791,12.23652293,12.15717322,16.76720709,1.115970701,21.72634721,44.08054259,41.73804155,44.57797303,44.50120165,46.82185215,46.68725391,48.38334457,48.31510727,51.26218706,50.80885855,53.55368184,53.27397995,56.53868942,56.53868942,669.9802256
46729,44.9395747,59.86621197,73.53911971,12.8643888,10.60062089,8.287819004,13.47296055,12.17455992,16.13877055,1.115922004,21.70235815,44.11792155,41.76787872,44.4784585,44.55737599,46.95663932,46.6788598,48.4535883,48.35620715,51.34063663,50.81289519,53.51807879,53.28656873,56.31968414,56.31968414,669.357588
46739,44.96582324,59.85932848,73.30332144,12.22176451,11.31251057,8.130076223,13.1163171,12.69251934,15.83013369,1.115867931,21.685911,44.14077531,41.80653974,44.4022096,44.5863398,46.97853815,46.68289132,48.48924496,48.35481091,51.25671091,50.86450924,53.57073178,53.31152753,56.33178512,56.33178512,669.5229925
46749,44.99146744,59.74026111,74.50551273,12.67820287,11.61553345,8.56335491,13.96397714,12.5622028,15.12224156,1.115838967,21.69308042,44.15919638,41.85171366,44.52779117,44.61313817,46.87862427,46.7512707,48.48456074,48.39915679,51.3884599,50.88870435,53.62866264,53.33906382,56.82507854,56.82507854,668.235576
