Timestamp,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,Tamb,DNI
52218,53.09575401,9.69362085,6.894492322,3.764634452,11.63327299,10.8263327,10.2834007,3.167057235,54.43077071,53.20335893,53.07566195,53.23703826,52.8318065,52.69798386,52.22163026,52.18759963,52.23830726,51.93516437,51.89166032,51.79878757,51.74197922,51.74197922,26.96807217,629.0647809
52228,53.70611339,9.916175622,6.922563519,3.647966419,11.58792254,10.54651343,11.08497186,3.166741058,54.32360905,53.01835102,52.88217816,53.04510921,52.64816678,52.51725833,52.0329627,52.00884551,52.04671159,51.76337023,51.73293676,51.64523997,51.59293519,51.59293519,27.03864509,628.7041013
52238,55.92626831,9.989583416,7.867939614,4.573344021,11.62769827,11.15460754,10.71309545,3.166570619,54.20946289,52.86743563,52.74181905,52.9018175,52.49627799,52.34687883,51.87154838,51.84314577,51.88687656,51.59719382,51.56224794,51.47341423,51.42967192,51.42967192,27.1008502,628.0201612
52248,53.48395309,9.776250411,7.167515508,3.649977375,11.82022777,10.57000395,10.49997809,3.166220425,54.12229057,52.67492247,52.52438307,52.72040654,52.28575113,52.19087301,51.73060027,51.70625303,51.75832861,51.48169957,51.44404538,51.34483237,51.30897884,51.30897884,27.1121697,627.6251806
52258,53.72210837,10.23722219,6.928743288,3.492890794,12.02188105,10.66154083,10.37983022,3.165985465,54.03121193,52.6602812,52.500219,52.60784754,52.20674213,52.04942744,51.54830555,51.50727095,51.52778838,51.23600958,51.17985728,51.09709092,51.0596529,51.0596529,27.08729265,628.6760369
52268,55.58693624,10.53410562,7.02348897,4.287125914,11.82873584,10.48322445,11.43025545,3.165648388,53.95538398,52.60298252,52.43359934,52.58963684,52.1551717,52.00664242,51.49919381,51.47416656,51.49152785,51.18305422,51.1350188,51.04074774,50.98684375,50.98684375,27.03894168,627.827868
52278,55.50072613,10.23163455,6.992998644,3.587356354,12.2174706,11.66065012,10.81061587,3.165192177,53.85024836,52.54846008,52.39290759,52.5362403,52.13376483,51.96427127,51.45410331,51.40968401,51.41532105,51.10164513,51.04796881,50.95121137,50.87294388,50.87294388,26.96341508,627.3154327
52288,53.35195408,9.550876685,7.299608027,3.566679098,11.990176,10.93759733,10.00701694,3.164976449,53.80598745,52.50007877,52.8233973,52.66025609,52.29454491,52.06556706,51.48801764,51.40684613,51.4045913,51.09858115,51.03498115,50.94250835,50.88950312,50.88950312,26.85353927,619.2339222
52298,56.52226937,10.43511658,7.869809852,3.58362846,11.58863628,11.30141882,11.74365937,3.164717056,53.73958121,52.43193309,53.14824858,53.03806374,52.67784435,52.43720341,51.84040307,51.71326108,51.64337371,51.27923248,51.15542755,51.01582499,50.9122989,50.9122989,26.77943283,627.827868
52308,53.32344875,9.565308338,6.842130577,3.994552824,11.86459991,10.21583827,10.84101884,3.16433814,53.66042351,52.36645862,53.0874016,53.22961844,53.42105088,53.0744295,52.71489394,52.44676789,52.45195058,51.89978784,51.71155802,51.44912579,51.22476079,51.22476079,26.67616223,627.2125299
52318,54.29194219,10.27799231,6.850110271,4.138987084,11.37372398,10.46674184,11.18438671,3.164094544,53.62941422,52.3329748,53.07168416,53.19094335,53.8304829,53.55780733,53.50353721,53.27720524,53.64292462,53.11301102,53.28148444,52.94271843,53.09206327,53.09206327,26.61523674,626.9059002
52328,53.97081841,10.76473005,6.640158037,3.587642619,11.75095732,10.87307534,10.35425505,3.163686729,53.57961792,52.29095721,53.12286298,53.21793896,53.820094,53.66360827,53.75592532,53.65077355,54.19560178,53.75502469,54.13729985,53.89551728,54.44702072,54.44702072,26.50229692,628.0284766
52338,53.72012133,9.69986022,7.163724013,3.146789342,12.13758999,10.76471597,10.80744179,3.163435726,53.55140563,52.25259194,53.18503181,53.27800956,53.94048007,53.76329104,53.91211304,53.78918385,54.46766242,54.05732031,54.56736358,54.34634801,55.1512803,55.1512803,26.33639631,627.2634616
52348,53.61943084,10.48804186,7.13620445,2.923072468,11.86595774,10.67575,10.53040433,3.163043203,53.51365298,52.22560818,53.07663452,53.27155691,53.8070496,53.6706028,53.9331294,53.87414321,54.62212926,54.26899721,54.85143622,54.69391743,55.47530126,55.47530126,26.17990027,628.9462867
52358,53.85768041,10.08454705,7.256724693,3.603256133,11.56863041,10.5320772,10.81244493,3.162716093,53.56494903,52.20066847,52.93588998,53.14695822,53.58228801,53.43974283,53.71603991,53.67731148,54.51225718,54.20704979,54.91079339,54.77623264,55.38302717,55.38302717,26.07981925,629.7320902
52368,54.59890663,10.33740952,6.923047048,4.008439424,11.70084237,10.76860984,10.86055843,3.162546522,53.53516399,52.15991129,52.93042461,53.06445816,53.52120236,53.30861105,53.63379288,53.56623946,54.38480815,54.10299042,54.82770233,54.68435889,55.3915147,55.3915147,26.04899624,628.5357148
52378,54.7898651,10.16063547,7.646419835,3.968912263,12.38121999,10.29481192,10.33786563,3.161403565,53.57204434,52.16851651,52.85211683,53.02003349,53.44909065,53.25991364,53.51439683,53.47521343,54.34626991,54.00501401,54.74686852,54.64267656,55.25626478,55.25626478,25.99350348,630.4628043
52388,55.39767178,9.91576261,7.619846902,4.203056135,11.64532709,10.24782072,11.76585833,3.161359539,53.6259299,52.15775639,52.8980101,53.02077725,53.39938912,53.29556654,53.55544878,53.45704054,54.33350819,54.00147996,54.77371483,54.61258845,55.30425,55.30425,25.93427872,633.0759126
