Timestamp,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,exp_flowrate,DNI,Tamb
53481,85.17859998,15.87341265,15.3232288,7.002145866,17.10846567,14.76285404,15.10849296,67.90488743,64.34370332,67.95687589,67.53497412,71.02291154,70.61423897,72.20809669,71.8648184,75.7591189,75.02924977,78.38963234,78.16227842,81.60133677,76.69149101,1.056897622,611.1617664,26.71932901
53491,84.28800287,15.0898164,15.08979366,6.535527065,16.42187296,15.19997089,15.9510219,67.98015589,64.37545654,67.81056208,67.57061357,71.00571393,70.70558935,72.1933626,71.91229551,75.65063567,74.98677262,78.44695416,78.21624268,81.84739645,76.72531309,1.056805803,610.9382906,26.77105572
53501,83.62973367,16.03698711,14.58030737,6.64268626,15.96550825,15.31090837,15.09333632,68.02460365,64.43689479,68.08813069,67.63163527,70.95122026,70.76478946,72.27716921,71.95470461,75.58966649,75.06050037,78.54642562,78.20695856,81.64334789,76.77711474,1.056657417,611.3363894,26.753689
53511,85.1898327,15.24342283,14.93519952,6.869295166,16.51282411,15.97041077,15.65868031,68.0291749,64.45346643,67.92424781,67.63128059,71.03188246,70.75861593,72.32268864,71.96889593,75.72870782,75.09124707,78.72755664,78.2019049,81.76723642,76.76781013,1.056590148,609.6691556,26.64841704
53521,84.6798595,15.08505176,15.4070385,6.700864836,16.52178045,15.52930755,15.43581641,68.08764198,64.51059376,67.94549107,67.69646988,71.20468423,70.80183924,72.32763995,72.01166631,75.7737097,75.08702411,78.62307938,78.27286917,81.78763632,76.85129908,1.056536159,609.9321295,26.62908021
53531,82.21145424,15.06551644,14.89427004,6.741397741,16.08768623,15.00391469,14.4186691,68.11604106,64.55814332,67.98896194,67.72957343,71.12139468,70.82686929,72.36206478,72.01051101,75.67410486,75.15567863,78.57246889,78.25895882,81.54247311,76.89332876,1.056422358,610.8353877,26.63311321
53541,82.14204434,15.16911358,14.36264531,6.537563846,16.29105407,14.90670522,14.87496233,68.15116431,64.58370258,68.03832423,67.75372742,71.02468358,70.86891588,72.357784,72.01585266,75.72598562,75.16079578,78.55565643,78.31934866,81.70698017,76.92059793,1.056357768,611.1243472,26.55515643
53551,84.98849694,15.6937506,15.62614195,6.789607689,16.36056615,15.52563427,14.99279629,68.19322121,64.62406645,68.19842947,67.79130928,71.35027395,70.8460516,72.39243291,72.07444692,75.80068191,75.21378825,78.74986159,78.31148055,81.72619626,76.9467414,1.056280851,611.3447048,26.55842724
53561,83.59582468,15.49484711,14.77996796,6.677126846,16.86442581,15.4067415,14.37271545,68.24696389,64.67314469,68.20243699,67.86252132,71.22898417,70.90492009,72.42578261,72.06192279,75.90316676,75.24623934,78.75546365,78.35982336,81.63352549,76.99194775,1.056211729,612.7032301,26.50549847
53571,84.11180829,15.27985482,15.13338815,7.054788755,15.8130032,15.07250145,15.75827191,68.2602826,64.69736928,68.17796916,67.89532128,71.3425575,70.92919987,72.53621101,72.13789258,75.7399384,75.27700175,78.71036859,78.36843565,81.95801422,77.02226376,1.056127728,612.3539841,26.5336703
53581,83.14966392,16.47237642,14.95719654,6.282067828,16.17408944,15.00255008,14.26138361,68.31110714,64.74200225,68.49456286,67.9190564,71.32644494,71.02140754,72.45252104,72.14818702,75.83279508,75.40028801,78.81800851,78.41878579,81.66766167,77.05023408,1.056038765,610.8145993,26.50836453
53591,80.23632548,14.62242292,14.71608562,6.546684236,15.6068702,14.34100407,14.40325843,68.34936471,64.79400946,68.12544565,67.93291081,71.28568624,70.99653751,72.48807287,72.18754389,75.74326736,75.2619833,78.52930365,78.27039524,81.55189904,77.07347692,1.0559398,612.0120141,26.47170019
