Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,Tamb,DNI,m2_T_WB,m3_T_WB
47560,57.73622627,64.61870456,61.93498735,11.70651583,8.640680292,5.177021738,11.4704534,16.24015084,8.70016526,1.619799948,56.40288123,58.155675,58.15566484,59.44941704,59.28933847,60.06448383,59.89748878,61.61493739,61.09785003,63.52945613,63.31604579,64.61870456,25.21334474,624.2010828,83.78903042,72.5311255
47570,57.74093802,64.41342659,59.27874897,10.67285442,8.385640875,4.935642236,11.45987794,16.3880047,7.436728805,1.61973984,56.38358296,57.98166793,58.10893329,59.36454553,59.21793282,59.95696433,59.82340811,61.53933695,61.05521567,63.5090507,63.29989837,64.41342659,25.3201094,605.829585,83.26605005,72.28768538
47580,57.74935487,64.51527086,60.58320395,10.78262273,8.05996562,5.230718582,11.65452005,16.55237262,8.303004351,1.619671025,56.37727058,57.99186015,58.09623232,59.30313131,59.22297605,60.00622368,59.74068061,61.48582806,60.98823506,63.46678679,63.27197926,64.51527086,25.33495975,606.1867325,83.11081713,72.13824109
47590,57.74389831,64.32046225,59.76624125,10.60313742,8.746855244,4.93265723,10.97153511,16.59039289,7.921663354,1.619660126,56.33987347,57.9275976,58.03618753,59.34595016,59.09717246,59.83579336,59.68965929,61.33254765,60.86880619,63.35306779,63.13426466,64.32046225,25.39464089,617.0138848,83.23375049,72.19259829
47600,57.76124778,64.30034145,59.9280343,10.57266866,8.571040628,4.942924832,11.05491141,16.42058531,8.365903457,1.619566259,56.33114792,57.91440138,58.00815528,59.29166564,59.06870469,59.80890597,59.66254575,61.3180149,60.81522905,63.27420601,63.04755031,64.30034145,25.40117408,613.0568172,83.06778337,71.98649128
47610,57.76031519,64.05377794,57.01816767,9.823249264,8.313103301,4.650543083,11.23778609,16.2469863,6.74649964,1.619548602,56.32921702,57.80026123,57.99823668,59.24313459,59.08214342,59.77856822,59.61110409,61.29397701,60.77503093,63.20803802,63.04348094,64.05377794,25.28847609,636.5990519,83.48009683,72.24095207
47620,57.80025401,64.1568209,59.33451072,10.73852131,8.424459367,5.162700726,11.18761786,16.11026026,7.710951201,1.619398586,56.30279543,57.90454875,57.97099979,59.2275886,59.03740543,59.8074717,59.60992804,61.2786684,60.73638313,63.13938276,63.00665867,64.1568209,25.33349485,648.1362851,83.88735921,72.55090737
47630,57.81389923,64.28585137,60.44466254,10.79279053,8.529507694,4.974350283,11.51212385,15.74267008,8.893220101,1.61933719,56.29654622,57.90645535,57.97049059,59.24279661,59.05912652,59.80112664,59.59348031,61.31068896,60.78030274,63.12856181,62.95929211,64.28585137,25.26087534,647.8813303,83.98342523,72.66950748
47640,57.84689463,64.22127567,60.70903624,11.16793011,8.929143399,4.845908786,11.12002808,16.70463839,7.94138747,1.619219248,56.30299658,57.96898483,57.9944974,59.32651218,59.14284884,59.86574261,59.65024494,61.30908735,60.81370431,63.3056371,63.03661046,64.22127567,25.2839949,647.1923201,84.04395182,72.57863263
47650,57.87242093,64.19855431,60.45218135,11.19300796,9.351508329,4.932900846,11.47862774,16.41925167,7.076884807,1.619128588,56.3091818,57.97900456,58.00070183,59.39580147,59.14500837,59.88092048,59.68742367,61.39985646,60.88833595,63.33783301,63.14279313,64.19855431,25.38055146,647.6400713,83.99595876,72.65331247
