Timestamp,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,Tamb,DNI,m2_T_WB,m3_T_WB
47007,57.91534684,10.21808309,11.16675206,7.910988259,10.79095795,10.73836224,7.090203246,1.648926036,57.38139671,55.42668801,56.94549562,56.79366865,58.45348565,58.15653622,59.33241912,59.18782515,60.79178441,60.17847354,61.77461502,61.49467683,62.54855891,62.54855891,25.62785991,668.562171,70.04896806,71.65006173
47017,58.05659383,10.23714715,11.13476567,8.033306113,10.86176361,10.5737881,7.215823187,1.648767706,57.44660276,55.49217415,57.01401184,56.85484767,58.51012387,58.29651867,59.49073693,59.24354663,60.85823879,60.23574261,61.8076248,61.56021601,62.63290858,62.63290858,25.6276543,667.8268054,70.00817074,71.69312193
47027,55.95658965,9.412266691,10.64366464,7.585220144,11.08363857,9.750052825,7.481746771,1.648615348,57.48089641,55.56376328,56.96313921,56.92017001,58.50262496,58.3485433,59.47628168,59.2892625,60.93713091,60.31039032,61.75998685,61.62697426,62.73932866,62.73932866,25.62736103,669.0552242,70.1324082,71.69902019
47037,57.77815571,10.62929301,10.9687147,7.5405631,10.65530364,10.58170338,7.402577889,1.648505227,57.52389756,55.61313394,57.19359318,56.97239844,58.60332596,58.40612656,59.52732555,59.35714921,60.94147594,60.34929762,61.92268081,61.65958103,62.76026314,62.76026314,25.62680472,669.0331,70.22457012,71.8126385
47047,58.00170661,10.0324971,11.46095085,7.584769085,11.116986,10.32214083,7.484362756,1.648351371,57.58533747,55.68552473,57.17743351,57.01767231,58.72200305,58.44800024,59.57591321,59.39608645,61.049267,60.43242861,61.96740962,61.7417726,62.85475439,62.85475439,25.62579568,669.0520636,70.2356251,71.8578992
47057,57.84305394,9.763421115,11.14672551,7.521853815,11.0279215,10.13233079,8.250801216,1.648216543,57.63062638,55.75427357,57.20632466,57.09578781,58.7535689,58.51168806,59.6303652,59.47883027,61.1189424,60.48259744,61.9895141,61.7764396,63.00352842,63.00352842,25.62435641,668.6369718,70.30560386,71.86902053
47067,57.42384969,10.31625469,11.05304825,7.392374396,10.79265214,10.0645893,7.804930923,1.648080631,57.68063304,55.80797037,57.34240876,57.16401186,58.80804083,58.62455972,59.72410053,59.53912175,61.14441943,60.55722556,62.05423127,61.88557131,63.04647572,63.04647572,25.62243635,668.8202864,70.39695887,72.00666423
47077,57.18782474,9.328415807,11.21923268,7.989094245,10.48813135,9.700062555,8.462888091,1.647946331,57.73202925,55.86147604,57.24913419,57.19901503,58.8679436,58.6384276,59.82685358,59.58620926,61.14638209,60.57916043,62.02210327,61.82091891,63.07982459,63.07982459,25.62045861,669.3860333,70.78219701,72.08643513
47087,56.70335101,9.798967714,11.30079827,8.096854732,10.69348653,10.21586383,6.597379932,1.64782743,57.78467422,55.92584781,57.38364638,57.26583182,58.94705866,58.66432497,59.86889912,59.63589171,61.2267684,60.66360367,62.18342414,62.01477203,62.99626837,62.99626837,25.61846065,668.758128,70.75832959,72.04571958
47097,55.87917915,9.265869657,11.72802859,7.28559649,10.23979871,10.5070684,6.852817297,1.647709641,57.83531015,55.95605246,57.33467514,57.32075028,59.06570535,58.75940646,59.84339414,59.70713776,61.2306665,60.71978564,62.28308011,62.0538804,63.07347702,63.07347702,25.61733287,669.1837551,70.77857843,72.09304975
47107,57.32109429,10.03983988,11.2420073,7.23027968,10.23081661,10.4846417,8.093509125,1.647588101,57.92453137,56.03048711,57.52442853,57.38460044,59.05742597,58.82703118,59.90290634,59.78550928,61.30786829,60.76491601,62.32504454,62.06288011,63.26720495,63.26720495,25.61664473,669.2206288,70.88828643,72.08753659
47117,56.48282489,8.971743134,11.13121273,7.455188254,10.89982849,10.44651765,7.578334633,1.64738039,58.00118256,56.07698093,57.41221185,57.43857552,59.09519221,58.86165741,59.97118515,59.79542914,61.41760978,60.81724,62.37195609,62.12168235,63.2495375,63.2495375,25.61655626,669.2100934,70.94967686,72.04133278
47127,58.69850104,10.21000979,11.21599352,7.614194699,10.77818878,10.40340088,8.476713379,1.647283749,58.06290656,56.10855611,57.62820239,57.48997957,59.15935534,58.92694997,60.06023808,59.8281473,61.43236071,60.82885304,62.37728344,62.18038572,63.44205014,63.44205014,25.61689443,668.5611175,70.98701756,72.12784608
47137,55.2690125,9.326751603,10.93527259,7.462309381,10.24290124,10.2796282,7.02214948,1.647107266,58.13020316,56.15921226,57.54759396,57.50336565,59.13119203,58.9324676,60.04330814,59.89516664,61.41992652,60.8976401,62.42786715,62.22357233,63.2688906,63.2688906,25.61846162,667.7446299,70.97236098,72.19041837
47147,55.96496876,9.629389028,10.80229808,7.444552775,10.74314095,9.972188446,7.373399484,1.646943281,58.19115218,56.22742421,57.66104655,57.56613044,59.17437534,58.99002606,60.09837023,59.93025524,61.52969283,60.98252397,62.46718225,62.29204369,63.38979456,63.38979456,25.62170579,668.6875414,71.04153006,72.17974478
